activity,next_activity,frequency,mean_duration_min,max_duration_min
productCallsForTransportRegion3,assignedToVehicleRegion3,127506,24.358361621008683,260.92673
startProcessingRegion2,finishedProcessingRegion2,140244,3.728856584797447,7.544101666666666
productCallsForTransportRegion1,productDisposed,10171,2.5268119840723626,8.513761666666666
productCallsForTransportRegion1,assignedToVehicleRegion1,140913,1.4154405806656114,8.510368333333334
pickedUpRegion3,droppedOffRegion3,129755,0.5006502639589996,0.625
pickedUpRegion1,droppedOffRegion2,141215,0.38024112169387103,0.5
assignedToVehicleRegion3,pickedUpRegion3,129741,0.368955724083623,0.625
assignedToVehicleRegion1,pickedUpRegion1,141036,0.2773888756889494,0.5
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,141225,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,141197,0.0,0.0
