experiment,activity,next_activity,frequency,mean_duration_min,max_duration_min
1,startProcessingRegion2,finishedProcessingRegion2,150452,3.715350437415255,7.544101666666666
1,pickedUpRegion3,droppedOffRegion3,151410,0.27957184021310794,0.625
1,pickedUpRegion1,droppedOffRegion2,151434,0.2030934268394152,0.5
1,assignedToVehicleRegion3,pickedUpRegion3,151435,0.18390567085988488,0.625
1,productCallsForTransportRegion3,assignedToVehicleRegion3,151437,0.11463475184400113,16.643703333333335
1,assignedToVehicleRegion1,pickedUpRegion1,151480,0.09874446266833904,0.5
1,productCallsForTransportRegion1,assignedToVehicleRegion1,151490,0.0248618640614342,3.8296300000000003
1,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
1,droppedOffRegion2,startProcessingRegion2,151480,0.0,0.0
1,finishedProcessingRegion2,productCallsForTransportRegion3,151465,0.0,0.0
2,startProcessingRegion2,finishedProcessingRegion2,150446,3.715275948225056,7.544101666666666
2,productCallsForTransportRegion1,productDisposed,4,2.83792,2.83792
2,pickedUpRegion3,droppedOffRegion3,151400,0.25589140243284897,0.625
2,assignedToVehicleRegion3,pickedUpRegion3,151428,0.17920957155655934,0.625
2,pickedUpRegion1,droppedOffRegion2,151446,0.1610447508242762,0.5
2,productCallsForTransportRegion3,assignedToVehicleRegion3,151436,0.14575994063498773,17.21337
2,assignedToVehicleRegion1,pickedUpRegion1,151470,0.07612150620584936,0.5
2,productCallsForTransportRegion1,assignedToVehicleRegion1,151484,0.028417406447765654,3.1703883333333334
2,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
2,droppedOffRegion2,startProcessingRegion2,151490,0.0,0.0
2,finishedProcessingRegion2,productCallsForTransportRegion3,151466,0.0,0.0
3,startProcessingRegion2,finishedProcessingRegion2,150437,3.715318548085467,7.544103333333334
3,pickedUpRegion3,droppedOffRegion3,151416,0.2608520006472235,0.625
3,pickedUpRegion1,droppedOffRegion2,151443,0.17472291555238603,0.5
3,assignedToVehicleRegion3,pickedUpRegion3,151441,0.14955068956447287,0.625
3,productCallsForTransportRegion3,assignedToVehicleRegion3,151443,0.10260246387529741,14.136181666666666
3,assignedToVehicleRegion1,pickedUpRegion1,151479,0.057155112028730054,0.5
3,productCallsForTransportRegion1,assignedToVehicleRegion1,151491,0.021295638200729196,2.6669683333333336
3,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
3,droppedOffRegion2,startProcessingRegion2,151482,0.0,0.0
3,finishedProcessingRegion2,productCallsForTransportRegion3,151463,0.0,0.0
4,productCallsForTransportRegion3,assignedToVehicleRegion3,145306,10.356796324216939,178.88425333333333
4,startProcessingRegion2,finishedProcessingRegion2,150450,3.715316994793398,7.544101666666666
4,productCallsForTransportRegion1,productDisposed,7,3.0406285714285715,4.25688
4,pickedUpRegion3,droppedOffRegion3,146278,0.2462448779948682,0.625
4,assignedToVehicleRegion3,pickedUpRegion3,146290,0.1630058720919635,0.625
4,pickedUpRegion1,droppedOffRegion2,151448,0.15781393063405702,0.5
4,assignedToVehicleRegion1,pickedUpRegion1,151471,0.07648267168853004,0.5
4,productCallsForTransportRegion1,assignedToVehicleRegion1,151470,0.06666859439713035,7.281881666666666
4,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
4,droppedOffRegion2,startProcessingRegion2,151491,0.0,0.0
4,finishedProcessingRegion2,productCallsForTransportRegion3,151472,0.0,0.0
5,productCallsForTransportRegion3,assignedToVehicleRegion3,149163,4.483731677203239,99.557035
5,startProcessingRegion2,finishedProcessingRegion2,150423,3.7153082306783762,7.544101666666666
5,productCallsForTransportRegion1,productDisposed,8,3.37003,4.25688
5,pickedUpRegion3,droppedOffRegion3,149591,0.25536694824554956,0.625
5,pickedUpRegion1,droppedOffRegion2,151426,0.17252445088690185,0.5
5,assignedToVehicleRegion3,pickedUpRegion3,149613,0.14595121323013374,0.625
5,assignedToVehicleRegion1,pickedUpRegion1,151472,0.057066600372786186,0.5
5,productCallsForTransportRegion1,assignedToVehicleRegion1,151476,0.04094642457110917,7.005828333333333
5,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
5,droppedOffRegion2,startProcessingRegion2,151470,0.0,0.0
5,finishedProcessingRegion2,productCallsForTransportRegion3,151443,0.0,0.0
6,startProcessingRegion2,finishedProcessingRegion2,149953,3.7142573880704837,7.544101666666666
6,productCallsForTransportRegion1,productDisposed,492,3.1493991666666665,4.256881666666667
6,productCallsForTransportRegion3,assignedToVehicleRegion3,146296,0.284136305800113,97.33838999999999
6,pickedUpRegion3,droppedOffRegion3,146333,0.24623641807840108,0.625
6,assignedToVehicleRegion3,pickedUpRegion3,146349,0.16250045725172932,0.625
6,pickedUpRegion1,droppedOffRegion2,150952,0.15726674152489975,0.5
6,assignedToVehicleRegion1,pickedUpRegion1,150977,0.07425428872168167,0.5
6,productCallsForTransportRegion1,assignedToVehicleRegion1,150989,0.03957596518068644,7.9849966666666665
6,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
6,droppedOffRegion2,startProcessingRegion2,150995,0.0,0.0
6,finishedProcessingRegion2,productCallsForTransportRegion3,150963,0.0,0.0
7,startProcessingRegion2,finishedProcessingRegion2,150191,3.7147712817013008,7.544101666666666
7,productCallsForTransportRegion1,productDisposed,243,3.0422970987654328,4.256881666666667
7,productCallsForTransportRegion3,assignedToVehicleRegion3,149755,0.5795912052129588,332.3718533333333
7,pickedUpRegion3,droppedOffRegion3,149883,0.25615776587960837,0.625
7,pickedUpRegion1,droppedOffRegion2,151203,0.17256188699959657,0.5
7,assignedToVehicleRegion3,pickedUpRegion3,149901,0.14532075102901248,0.625
7,assignedToVehicleRegion1,pickedUpRegion1,151231,0.055934399153171846,0.5
7,productCallsForTransportRegion1,assignedToVehicleRegion1,151241,0.028865983507558576,4.252973333333333
7,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
7,droppedOffRegion2,startProcessingRegion2,151242,0.0,0.0
7,finishedProcessingRegion2,productCallsForTransportRegion3,151207,0.0,0.0
8,productCallsForTransportRegion3,assignedToVehicleRegion3,149368,4.014084221888223,80.88423833333333
8,productCallsForTransportRegion1,productDisposed,3,3.7838933333333333,4.25688
8,startProcessingRegion2,finishedProcessingRegion2,150468,3.715386880698886,7.544101666666666
8,pickedUpRegion3,droppedOffRegion3,149711,0.27746031674359256,0.625
8,pickedUpRegion1,droppedOffRegion2,151442,0.20132267358680772,0.5
8,assignedToVehicleRegion3,pickedUpRegion3,149733,0.17588563737897903,0.625
8,assignedToVehicleRegion1,pickedUpRegion1,151470,0.09783187949208866,0.5
8,productCallsForTransportRegion1,assignedToVehicleRegion1,151479,0.04724906144306031,6.368926666666667
8,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
8,droppedOffRegion2,startProcessingRegion2,151506,0.0,0.0
8,finishedProcessingRegion2,productCallsForTransportRegion3,151470,0.0,0.0
9,startProcessingRegion2,finishedProcessingRegion2,150159,3.7147545422074817,7.544101666666666
9,productCallsForTransportRegion1,productDisposed,290,3.0581036321839083,4.256881666666667
9,productCallsForTransportRegion3,assignedToVehicleRegion3,149517,0.6248725128580696,323.10862333333336
9,pickedUpRegion3,droppedOffRegion3,149636,0.2771886626658469,0.625
9,pickedUpRegion1,droppedOffRegion2,151123,0.20144518041595255,0.5
9,assignedToVehicleRegion3,pickedUpRegion3,149663,0.17507017749878065,0.625
9,assignedToVehicleRegion1,pickedUpRegion1,151162,0.0967932267809811,0.5
9,productCallsForTransportRegion1,assignedToVehicleRegion1,151188,0.03452912819359562,4.226015
9,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
9,droppedOffRegion2,startProcessingRegion2,151186,0.0,0.0
9,finishedProcessingRegion2,productCallsForTransportRegion3,151167,0.0,0.0
10,startProcessingRegion2,finishedProcessingRegion2,150466,3.715357205304409,7.544103333333334
10,pickedUpRegion3,droppedOffRegion3,151412,0.322768157103356,0.625
10,pickedUpRegion1,droppedOffRegion2,151422,0.24012981931291358,0.5
10,assignedToVehicleRegion3,pickedUpRegion3,151432,0.15281107623663867,0.625
10,assignedToVehicleRegion1,pickedUpRegion1,151470,0.0893413208336084,0.5
10,productCallsForTransportRegion3,assignedToVehicleRegion3,151448,0.013499948431144685,1.9846983333333335
10,productCallsForTransportRegion1,assignedToVehicleRegion1,151493,0.004160488669443473,0.8910766666666666
10,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
10,droppedOffRegion2,startProcessingRegion2,151494,0.0,0.0
10,finishedProcessingRegion2,productCallsForTransportRegion3,151454,0.0,0.0
11,startProcessingRegion2,finishedProcessingRegion2,150466,3.715341393404489,7.544101666666666
11,pickedUpRegion3,droppedOffRegion3,151415,0.2565963863443736,0.625
11,pickedUpRegion1,droppedOffRegion2,151441,0.18065643826088487,0.5
11,assignedToVehicleRegion3,pickedUpRegion3,151440,0.11658920361199157,0.625
11,assignedToVehicleRegion1,pickedUpRegion1,151481,0.048272424110394486,0.5
11,productCallsForTransportRegion3,assignedToVehicleRegion3,151464,0.014925674472701985,1.7294666666666667
11,productCallsForTransportRegion1,assignedToVehicleRegion1,151493,0.0025391523810781138,0.98664
11,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
11,droppedOffRegion2,startProcessingRegion2,151500,0.0,0.0
11,finishedProcessingRegion2,productCallsForTransportRegion3,151468,0.0,0.0
12,startProcessingRegion2,finishedProcessingRegion2,150458,3.7153573105783675,7.544101666666666
12,pickedUpRegion3,droppedOffRegion3,151385,0.27722079119463616,0.625
12,pickedUpRegion1,droppedOffRegion2,151435,0.19849440353947237,0.5
12,assignedToVehicleRegion3,pickedUpRegion3,151452,0.07073154019095158,0.625
12,assignedToVehicleRegion1,pickedUpRegion1,151488,0.023048235536808195,0.5
12,productCallsForTransportRegion3,assignedToVehicleRegion3,151456,0.010303836185646877,1.474695
12,productCallsForTransportRegion1,assignedToVehicleRegion1,151492,0.0026093215703359473,0.8556066666666666
12,arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
12,droppedOffRegion2,startProcessingRegion2,151490,0.0,0.0
12,finishedProcessingRegion2,productCallsForTransportRegion3,151461,0.0,0.0
13,startProcessingRegion2,finishedProcessingRegion2,150446,3.7153304976979555,7.544101666666666
13,pickedUpRegion3,droppedOffRegion3,151403,0.25397421801417414,0.625
