experiment,runs,number_of_cases,average_cases_per_run,number_of_events,average_events_per_run,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality,minimum_final_quality,fleet,vehicle_rule,product_rule,description,scenario,exp,decayAverage,decayStdDev,avgTimeInSystem,stdTimeInSystem,avgProductsDisposedPerHour,
1,20,152766,7638.3,1666342,83317.1,11,15,4.555993869774688,22.35563,86.50534681520848,24.7598815478,3UAV;1HDF;1AGV,Rnd,Rnd,{3UAV;1HDF;1AGV}{V:Rnd;P:Rnd}{Decay:0.60},1,1,86.41737577617529,9.426856622309348,277.4482645319508,73.54671081078675,0.0,
2,20,152747,7637.35,1666310,83315.5,12,16,4.498529299844406,23.545144999999998,88.03601322466757,14.7653213538,3UAV;1HDF;1AGV,Rnd,lowestUtilization,{3UAV;1HDF;1AGV}{V:Rnd;P:lowestUtilization}{Decay:0.60},1,2,87.94016150280882,8.547824335645922,273.986770250455,78.00001065478531,0.025,
3,20,152726,7636.3,1666314,83315.7,11,15,4.419349247050273,19.519473333333334,88.5562911530959,24.70543642,3UAV;1HDF;1AGV,Rnd,shortestTravelDistance,{3UAV;1HDF;1AGV}{V:Rnd;P:shortestTravelDistance}{Decay:0.60},1,3,88.47163269012583,8.378977315204766,269.17124470122786,71.57796862433547,0.0,
4,20,153730,7686.5,1650906,82545.3,12,16,14.111399942550793,184.23354,75.72889087047922,0.0017299747,3UAV;1HDF;1AGV,lowestQualityDecayValue,lowestUtilization,{3UAV;1HDF;1AGV}{V:lowestQualityDecayValue;P:lowestUtilization}{Decay:0.60},1,4,72.11564314095443,35.05461433743932,923.9026546468425,1710.1560739323934,0.04375,
5,20,153181,7659.05,1660759,83037.95,12,16,8.67411437848036,105.13491333333333,78.20526077826587,0.1857013547,3UAV;1HDF;1AGV,lowestQualityDecayValue,shortestTravelDistance,{3UAV;1HDF;1AGV}{V:lowestQualityDecayValue;P:shortestTravelDistance}{Decay:0.60},1,5,76.97897822230156,28.86361244473256,550.0598848582873,771.0153476852449,0.05,
6,20,152796,7639.8,1648588,82429.4,12,20,4.586650141386772,102.82910833333334,87.92640140117608,0.1520408976,3UAV;1HDF;1AGV,highestQualityDecayValue,lowestUtilization,{3UAV;1HDF;1AGV}{V:highestQualityDecayValue;P:lowestUtilization}{Decay:0.60},1,6,85.04161482370466,18.23418749111841,272.0916614239828,159.82704460638843,2.71875,
7,20,152876,7643.8,1660466,83023.3,12,19,4.870321066452549,336.916235,87.48975412314704,0.0,3UAV;1HDF;1AGV,highestQualityDecayValue,shortestTravelDistance,{3UAV;1HDF;1AGV}{V:highestQualityDecayValue;P:shortestTravelDistance}{Decay:0.60},1,7,86.62739494586717,14.718693484695365,296.6414273758484,358.83667004220365,1.4125,
8,20,153147,7657.35,1661290,83064.5,12,16,8.351278224320424,86.221745,76.8084328216139,0.606866305,3UAV;1HDF;1AGV,lowestQualityDecayValue,random,{3UAV;1HDF;1AGV}{V:lowestQualityDecayValue;P:random}{Decay:0.60},1,8,75.70887420444227,27.264263980382335,527.538358622128,697.5597181010453,0.01875,
9,20,152926,7646.3,1659510,82975.5,12,18,5.035726554956864,328.5428333333333,85.42700834917518,0.0,3UAV;1HDF;1AGV,highestQualityDecayValue,random,{3UAV;1HDF;1AGV}{V:highestQualityDecayValue;P:random}{Decay:0.60},1,9,84.45347836670028,15.545717891601443,306.5820062110368,378.25076617323833,1.7,
10,20,152752,7637.6,1666336,83316.8,11,13,4.475323981486331,8.936544999999999,86.31071316255029,51.7105162473,3UAV;2HDF;2AGV,Rnd,Rnd,{3UAVV;2HDF;2AGV}{V:Rnd;P:Rnd}{Decay:0.60},2,1,86.23934266245041,9.27304635299786,272.3722500179218,59.345456736926565,0.0,
