experiment,activity,next_activity,frequency
1,arrivalAtSource,productCallsForTransportRegion1,151493
1,productCallsForTransportRegion1,assignedToVehicleRegion1,151490
1,assignedToVehicleRegion1,pickedUpRegion1,151480
1,droppedOffRegion2,startProcessingRegion2,151480
1,finishedProcessingRegion2,productCallsForTransportRegion3,151465
1,productCallsForTransportRegion3,assignedToVehicleRegion3,151437
1,assignedToVehicleRegion3,pickedUpRegion3,151435
1,pickedUpRegion1,droppedOffRegion2,151434
1,pickedUpRegion3,droppedOffRegion3,151410
1,startProcessingRegion2,finishedProcessingRegion2,150452
2,arrivalAtSource,productCallsForTransportRegion1,151493
2,droppedOffRegion2,startProcessingRegion2,151490
2,productCallsForTransportRegion1,assignedToVehicleRegion1,151484
2,assignedToVehicleRegion1,pickedUpRegion1,151470
2,finishedProcessingRegion2,productCallsForTransportRegion3,151466
2,pickedUpRegion1,droppedOffRegion2,151446
2,productCallsForTransportRegion3,assignedToVehicleRegion3,151436
2,assignedToVehicleRegion3,pickedUpRegion3,151428
2,pickedUpRegion3,droppedOffRegion3,151400
2,startProcessingRegion2,finishedProcessingRegion2,150446
2,productCallsForTransportRegion1,productDisposed,4
3,arrivalAtSource,productCallsForTransportRegion1,151493
3,productCallsForTransportRegion1,assignedToVehicleRegion1,151491
3,droppedOffRegion2,startProcessingRegion2,151482
3,assignedToVehicleRegion1,pickedUpRegion1,151479
3,finishedProcessingRegion2,productCallsForTransportRegion3,151463
3,pickedUpRegion1,droppedOffRegion2,151443
3,productCallsForTransportRegion3,assignedToVehicleRegion3,151443
3,assignedToVehicleRegion3,pickedUpRegion3,151441
3,pickedUpRegion3,droppedOffRegion3,151416
3,startProcessingRegion2,finishedProcessingRegion2,150437
4,arrivalAtSource,productCallsForTransportRegion1,151493
4,droppedOffRegion2,startProcessingRegion2,151491
4,finishedProcessingRegion2,productCallsForTransportRegion3,151472
4,assignedToVehicleRegion1,pickedUpRegion1,151471
4,productCallsForTransportRegion1,assignedToVehicleRegion1,151470
4,pickedUpRegion1,droppedOffRegion2,151448
4,startProcessingRegion2,finishedProcessingRegion2,150450
4,assignedToVehicleRegion3,pickedUpRegion3,146290
4,pickedUpRegion3,droppedOffRegion3,146278
4,productCallsForTransportRegion3,assignedToVehicleRegion3,145306
4,productCallsForTransportRegion1,productDisposed,7
5,arrivalAtSource,productCallsForTransportRegion1,151493
5,productCallsForTransportRegion1,assignedToVehicleRegion1,151476
5,assignedToVehicleRegion1,pickedUpRegion1,151472
5,droppedOffRegion2,startProcessingRegion2,151470
5,finishedProcessingRegion2,productCallsForTransportRegion3,151443
5,pickedUpRegion1,droppedOffRegion2,151426
5,startProcessingRegion2,finishedProcessingRegion2,150423
5,assignedToVehicleRegion3,pickedUpRegion3,149613
5,pickedUpRegion3,droppedOffRegion3,149591
5,productCallsForTransportRegion3,assignedToVehicleRegion3,149163
5,productCallsForTransportRegion1,productDisposed,8
6,arrivalAtSource,productCallsForTransportRegion1,151493
6,droppedOffRegion2,startProcessingRegion2,150995
6,productCallsForTransportRegion1,assignedToVehicleRegion1,150989
6,assignedToVehicleRegion1,pickedUpRegion1,150977
6,finishedProcessingRegion2,productCallsForTransportRegion3,150963
6,pickedUpRegion1,droppedOffRegion2,150952
6,startProcessingRegion2,finishedProcessingRegion2,149953
6,assignedToVehicleRegion3,pickedUpRegion3,146349
6,pickedUpRegion3,droppedOffRegion3,146333
6,productCallsForTransportRegion3,assignedToVehicleRegion3,146296
6,productCallsForTransportRegion1,productDisposed,492
7,arrivalAtSource,productCallsForTransportRegion1,151493
7,droppedOffRegion2,startProcessingRegion2,151242
7,productCallsForTransportRegion1,assignedToVehicleRegion1,151241
7,assignedToVehicleRegion1,pickedUpRegion1,151231
7,finishedProcessingRegion2,productCallsForTransportRegion3,151207
7,pickedUpRegion1,droppedOffRegion2,151203
7,startProcessingRegion2,finishedProcessingRegion2,150191
7,assignedToVehicleRegion3,pickedUpRegion3,149901
7,pickedUpRegion3,droppedOffRegion3,149883
7,productCallsForTransportRegion3,assignedToVehicleRegion3,149755
7,productCallsForTransportRegion1,productDisposed,243
8,droppedOffRegion2,startProcessingRegion2,151506
8,arrivalAtSource,productCallsForTransportRegion1,151493
8,productCallsForTransportRegion1,assignedToVehicleRegion1,151479
8,assignedToVehicleRegion1,pickedUpRegion1,151470
8,finishedProcessingRegion2,productCallsForTransportRegion3,151470
8,pickedUpRegion1,droppedOffRegion2,151442
8,startProcessingRegion2,finishedProcessingRegion2,150468
8,assignedToVehicleRegion3,pickedUpRegion3,149733
8,pickedUpRegion3,droppedOffRegion3,149711
8,productCallsForTransportRegion3,assignedToVehicleRegion3,149368
8,productCallsForTransportRegion1,productDisposed,3
9,arrivalAtSource,productCallsForTransportRegion1,151493
9,productCallsForTransportRegion1,assignedToVehicleRegion1,151188
9,droppedOffRegion2,startProcessingRegion2,151186
9,finishedProcessingRegion2,productCallsForTransportRegion3,151167
9,assignedToVehicleRegion1,pickedUpRegion1,151162
9,pickedUpRegion1,droppedOffRegion2,151123
9,startProcessingRegion2,finishedProcessingRegion2,150159
9,assignedToVehicleRegion3,pickedUpRegion3,149663
9,pickedUpRegion3,droppedOffRegion3,149636
9,productCallsForTransportRegion3,assignedToVehicleRegion3,149517
9,productCallsForTransportRegion1,productDisposed,290
10,droppedOffRegion2,startProcessingRegion2,151494
10,arrivalAtSource,productCallsForTransportRegion1,151493
10,productCallsForTransportRegion1,assignedToVehicleRegion1,151493
10,assignedToVehicleRegion1,pickedUpRegion1,151470
10,finishedProcessingRegion2,productCallsForTransportRegion3,151454
10,productCallsForTransportRegion3,assignedToVehicleRegion3,151448
10,assignedToVehicleRegion3,pickedUpRegion3,151432
10,pickedUpRegion1,droppedOffRegion2,151422
10,pickedUpRegion3,droppedOffRegion3,151412
10,startProcessingRegion2,finishedProcessingRegion2,150466
11,droppedOffRegion2,startProcessingRegion2,151500
11,arrivalAtSource,productCallsForTransportRegion1,151493
11,productCallsForTransportRegion1,assignedToVehicleRegion1,151493
11,assignedToVehicleRegion1,pickedUpRegion1,151481
11,finishedProcessingRegion2,productCallsForTransportRegion3,151468
11,productCallsForTransportRegion3,assignedToVehicleRegion3,151464
11,pickedUpRegion1,droppedOffRegion2,151441
11,assignedToVehicleRegion3,pickedUpRegion3,151440
11,pickedUpRegion3,droppedOffRegion3,151415
11,startProcessingRegion2,finishedProcessingRegion2,150466
12,arrivalAtSource,productCallsForTransportRegion1,151493
12,productCallsForTransportRegion1,assignedToVehicleRegion1,151492
12,droppedOffRegion2,startProcessingRegion2,151490
