activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151493
droppedOffRegion2,startProcessingRegion2,151486
finishedProcessingRegion2,productCallsForTransportRegion3,151478
productCallsForTransportRegion3,assignedToVehicleRegion3,151470
assignedToVehicleRegion1,pickedUpRegion1,151465
assignedToVehicleRegion3,pickedUpRegion3,151430
pickedUpRegion1,droppedOffRegion2,151424
pickedUpRegion3,droppedOffRegion3,151405
startProcessingRegion2,finishedProcessingRegion2,150463
