experiment,activity,next_activity,frequency,mean_duration_min,max_duration_min
1,startProcessingRegion2,finishedProcessingRegion2,150452,3.715350437415255,7.544101666666666
1,pickedUpRegion3,droppedOffRegion3,151410,0.27957184021310794,0.625
1,pickedUpRegion1,droppedOffRegion2,151434,0.2030934268394152,0.5
1,assignedToVehicleRegion3,pickedUpRegion3,151435,0.18390567085988488,0.625
1,productCallsForTransportRegion3,assignedToVehicleRegion3,151437,0.11463475184400113,16.643703333333335
2,startProcessingRegion2,finishedProcessingRegion2,150446,3.715275948225056,7.544101666666666
2,productCallsForTransportRegion1,productDisposed,4,2.83792,2.83792
2,pickedUpRegion3,droppedOffRegion3,151400,0.25589140243284897,0.625
2,assignedToVehicleRegion3,pickedUpRegion3,151428,0.17920957155655934,0.625
2,pickedUpRegion1,droppedOffRegion2,151446,0.1610447508242762,0.5
3,startProcessingRegion2,finishedProcessingRegion2,150437,3.715318548085467,7.544103333333334
3,pickedUpRegion3,droppedOffRegion3,151416,0.2608520006472235,0.625
3,pickedUpRegion1,droppedOffRegion2,151443,0.17472291555238603,0.5
3,assignedToVehicleRegion3,pickedUpRegion3,151441,0.14955068956447287,0.625
3,productCallsForTransportRegion3,assignedToVehicleRegion3,151443,0.10260246387529741,14.136181666666666
4,productCallsForTransportRegion3,assignedToVehicleRegion3,145306,10.356796324216939,178.88425333333333
4,startProcessingRegion2,finishedProcessingRegion2,150450,3.715316994793398,7.544101666666666
4,productCallsForTransportRegion1,productDisposed,7,3.0406285714285715,4.25688
4,pickedUpRegion3,droppedOffRegion3,146278,0.2462448779948682,0.625
4,assignedToVehicleRegion3,pickedUpRegion3,146290,0.1630058720919635,0.625
5,productCallsForTransportRegion3,assignedToVehicleRegion3,149163,4.483731677203239,99.557035
5,startProcessingRegion2,finishedProcessingRegion2,150423,3.7153082306783762,7.544101666666666
5,productCallsForTransportRegion1,productDisposed,8,3.37003,4.25688
5,pickedUpRegion3,droppedOffRegion3,149591,0.25536694824554956,0.625
5,pickedUpRegion1,droppedOffRegion2,151426,0.17252445088690185,0.5
6,startProcessingRegion2,finishedProcessingRegion2,149953,3.7142573880704837,7.544101666666666
6,productCallsForTransportRegion1,productDisposed,492,3.1493991666666665,4.256881666666667
6,productCallsForTransportRegion3,assignedToVehicleRegion3,146296,0.284136305800113,97.33838999999999
6,pickedUpRegion3,droppedOffRegion3,146333,0.24623641807840108,0.625
6,assignedToVehicleRegion3,pickedUpRegion3,146349,0.16250045725172932,0.625
7,startProcessingRegion2,finishedProcessingRegion2,150191,3.7147712817013008,7.544101666666666
7,productCallsForTransportRegion1,productDisposed,243,3.0422970987654328,4.256881666666667
7,productCallsForTransportRegion3,assignedToVehicleRegion3,149755,0.5795912052129588,332.3718533333333
7,pickedUpRegion3,droppedOffRegion3,149883,0.25615776587960837,0.625
7,pickedUpRegion1,droppedOffRegion2,151203,0.17256188699959657,0.5
8,productCallsForTransportRegion3,assignedToVehicleRegion3,149368,4.014084221888223,80.88423833333333
8,productCallsForTransportRegion1,productDisposed,3,3.7838933333333333,4.25688
8,startProcessingRegion2,finishedProcessingRegion2,150468,3.715386880698886,7.544101666666666
8,pickedUpRegion3,droppedOffRegion3,149711,0.27746031674359256,0.625
8,pickedUpRegion1,droppedOffRegion2,151442,0.20132267358680772,0.5
9,startProcessingRegion2,finishedProcessingRegion2,150159,3.7147545422074817,7.544101666666666
9,productCallsForTransportRegion1,productDisposed,290,3.0581036321839083,4.256881666666667
9,productCallsForTransportRegion3,assignedToVehicleRegion3,149517,0.6248725128580696,323.10862333333336
9,pickedUpRegion3,droppedOffRegion3,149636,0.2771886626658469,0.625
9,pickedUpRegion1,droppedOffRegion2,151123,0.20144518041595255,0.5
10,startProcessingRegion2,finishedProcessingRegion2,150466,3.715357205304409,7.544103333333334
10,pickedUpRegion3,droppedOffRegion3,151412,0.322768157103356,0.625
10,pickedUpRegion1,droppedOffRegion2,151422,0.24012981931291358,0.5
10,assignedToVehicleRegion3,pickedUpRegion3,151432,0.15281107623663867,0.625
10,assignedToVehicleRegion1,pickedUpRegion1,151470,0.0893413208336084,0.5
11,startProcessingRegion2,finishedProcessingRegion2,150466,3.715341393404489,7.544101666666666
11,pickedUpRegion3,droppedOffRegion3,151415,0.2565963863443736,0.625
11,pickedUpRegion1,droppedOffRegion2,151441,0.18065643826088487,0.5
11,assignedToVehicleRegion3,pickedUpRegion3,151440,0.11658920361199157,0.625
11,assignedToVehicleRegion1,pickedUpRegion1,151481,0.048272424110394486,0.5
12,startProcessingRegion2,finishedProcessingRegion2,150458,3.7153573105783675,7.544101666666666
12,pickedUpRegion3,droppedOffRegion3,151385,0.27722079119463616,0.625
12,pickedUpRegion1,droppedOffRegion2,151435,0.19849440353947237,0.5
12,assignedToVehicleRegion3,pickedUpRegion3,151452,0.07073154019095158,0.625
12,assignedToVehicleRegion1,pickedUpRegion1,151488,0.023048235536808195,0.5
13,startProcessingRegion2,finishedProcessingRegion2,150446,3.7153304976979555,7.544101666666666
13,pickedUpRegion3,droppedOffRegion3,151403,0.25397421801417414,0.625
13,pickedUpRegion1,droppedOffRegion2,151439,0.1801835227385284,0.5
13,assignedToVehicleRegion3,pickedUpRegion3,151417,0.11714805327891406,0.625
13,assignedToVehicleRegion1,pickedUpRegion1,151481,0.04852993490932856,0.5
14,startProcessingRegion2,finishedProcessingRegion2,150453,3.7153823827596213,7.544101666666666
14,pickedUpRegion3,droppedOffRegion3,151395,0.2765450747272587,0.625
14,pickedUpRegion1,droppedOffRegion2,151438,0.19818589125582747,0.5
14,assignedToVehicleRegion3,pickedUpRegion3,151430,0.069763369037399,0.625
14,assignedToVehicleRegion1,pickedUpRegion1,151491,0.02271680203224394,0.5
15,startProcessingRegion2,finishedProcessingRegion2,150452,3.7153994359773654,7.544101666666666
15,pickedUpRegion3,droppedOffRegion3,151411,0.25405995666321024,0.625
15,pickedUpRegion1,droppedOffRegion2,151440,0.17985588351822504,0.5
15,assignedToVehicleRegion3,pickedUpRegion3,151422,0.11705627945961178,0.625
15,assignedToVehicleRegion1,pickedUpRegion1,151475,0.04805572476206194,0.5
16,startProcessingRegion2,finishedProcessingRegion2,150454,3.7153439878634,7.544101666666666
16,pickedUpRegion3,droppedOffRegion3,151388,0.27648400930060507,0.625
16,pickedUpRegion1,droppedOffRegion2,151440,0.1982962174238422,0.5
16,assignedToVehicleRegion3,pickedUpRegion3,151443,0.06937331094867376,0.625
16,assignedToVehicleRegion1,pickedUpRegion1,151484,0.02228627009013053,0.5
17,startProcessingRegion2,finishedProcessingRegion2,150463,3.7154036643781745,7.544101666666666
17,pickedUpRegion3,droppedOffRegion3,151405,0.32183079626388383,0.625
17,pickedUpRegion1,droppedOffRegion2,151424,0.2396233699193435,0.5
17,assignedToVehicleRegion3,pickedUpRegion3,151430,0.15156419718681902,0.625
17,assignedToVehicleRegion1,pickedUpRegion1,151465,0.08887923905412691,0.5
18,startProcessingRegion2,finishedProcessingRegion2,150449,3.715307884332897,7.544101666666666
18,pickedUpRegion3,droppedOffRegion3,151390,0.32163378712816776,0.625
18,pickedUpRegion1,droppedOffRegion2,151411,0.24038502816836294,0.5
18,assignedToVehicleRegion3,pickedUpRegion3,151427,0.15282518381794527,0.625
18,assignedToVehicleRegion1,pickedUpRegion1,151470,0.0891862920050175,0.5
19,startProcessingRegion2,finishedProcessingRegion2,150427,3.715267613970009,7.544101666666666
19,productCallsForTransportRegion1,productDisposed,6,2.9325172222222227,4.25688
19,productCallsForTransportRegion3,assignedToVehicleRegion3,151243,0.7611962007497868,52.99698333333333
19,pickedUpRegion3,droppedOffRegion3,151219,0.5131602730697421,0.625
19,assignedToVehicleRegion3,pickedUpRegion3,151259,0.47589646095989885,0.625
20,startProcessingRegion2,finishedProcessingRegion2,150462,3.715304066408795,7.544103333333334
20,productCallsForTransportRegion1,productDisposed,8,2.554127916666667,2.83792
20,productCallsForTransportRegion3,assignedToVehicleRegion3,151278,0.7807619635373286,47.341525000000004
20,pickedUpRegion3,droppedOffRegion3,151264,0.5102838965869826,0.625
20,assignedToVehicleRegion3,pickedUpRegion3,151236,0.4777706870167597,0.625
21,startProcessingRegion2,finishedProcessingRegion2,150458,3.7153479302086514,7.544101666666666
21,productCallsForTransportRegion1,productDisposed,5,2.83792,2.83792
21,productCallsForTransportRegion3,assignedToVehicleRegion3,151266,0.7127924544731356,44.82499
21,pickedUpRegion3,droppedOffRegion3,151209,0.5125973542139247,0.625
21,assignedToVehicleRegion3,pickedUpRegion3,151288,0.46175559928745175,0.625
22,productCallsForTransportRegion3,assignedToVehicleRegion3,127506,24.358361621008683,260.92673
22,startProcessingRegion2,finishedProcessingRegion2,140244,3.728856584797447,7.544101666666666
22,productCallsForTransportRegion1,productDisposed,10171,2.5268119840723626,8.513761666666666
22,productCallsForTransportRegion1,assignedToVehicleRegion1,140913,1.4154405806656114,8.510368333333334
22,pickedUpRegion3,droppedOffRegion3,129755,0.5006502639589996,0.625
23,productCallsForTransportRegion3,assignedToVehicleRegion3,133845,18.732939400201726,244.66017333333332
23,startProcessingRegion2,finishedProcessingRegion2,143254,3.724326624492161,7.544101666666666
23,productCallsForTransportRegion1,productDisposed,7200,2.5374159194444443,8.513761666666666
23,productCallsForTransportRegion1,assignedToVehicleRegion1,143998,1.1543886524349878,8.513135
23,pickedUpRegion3,droppedOffRegion3,135446,0.5075805117906768,0.625
24,startProcessingRegion2,finishedProcessingRegion2,142656,3.7337207782824877,7.544103333333334
24,productCallsForTransportRegion1,productDisposed,7798,2.239511299478499,8.513761666666666
24,pickedUpRegion3,droppedOffRegion3,127269,0.5080826176576123,0.625
24,pickedUpRegion1,droppedOffRegion2,143582,0.37686304690002925,0.5
24,assignedToVehicleRegion3,pickedUpRegion3,127292,0.3693845042238842,0.625
25,startProcessingRegion2,finishedProcessingRegion2,148774,3.718663825197951,7.544101666666666
25,productCallsForTransportRegion1,productDisposed,1668,2.279353489208633,8.51376
25,pickedUpRegion3,droppedOffRegion3,136227,0.5125978452631759,0.625
25,pickedUpRegion1,droppedOffRegion2,149775,0.391056584877316,0.5
25,assignedToVehicleRegion3,pickedUpRegion3,136282,0.34754637948029327,0.625
26,productCallsForTransportRegion3,assignedToVehicleRegion3,130827,19.55576611181178,260.21069
