case_id,min,max,duration
.Models.MUs.product1:1000,2020-01-01 02:49:04.958800,2020-01-01 02:53:23.068300,0 days 00:04:18.109500
.Models.MUs.product1:1001,2020-01-01 02:49:12.357900,2020-01-01 02:52:44.966100,0 days 00:03:32.608200
.Models.MUs.product1:1002,2020-01-01 02:49:22.446600,2020-01-01 02:51:51.119500,0 days 00:02:28.672900
.Models.MUs.product1:1003,2020-01-01 02:49:27.838200,2020-01-01 02:52:19.567900,0 days 00:02:51.729700
.Models.MUs.product1:1004,2020-01-01 02:49:30.367400,2020-01-01 02:53:14.234700,0 days 00:03:43.867300
.Models.MUs.product1:1005,2020-01-01 02:49:33.439800,2020-01-01 02:52:28.299400,0 days 00:02:54.859600
.Models.MUs.product1:1006,2020-01-01 02:49:40.565500,2020-01-01 02:54:07.457800,0 days 00:04:26.892300
.Models.MUs.product1:1007,2020-01-01 02:49:46.923400,2020-01-01 02:52:56.786000,0 days 00:03:09.862600
.Models.MUs.product1:1008,2020-01-01 02:50:10.740700,2020-01-01 02:53:01.879800,0 days 00:02:51.139100
.Models.MUs.product1:1009,2020-01-01 02:50:13.248800,2020-01-01 02:54:33.994900,0 days 00:04:20.746100
.Models.MUs.product1:1010,2020-01-01 02:50:16.868600,2020-01-01 02:54:37.158700,0 days 00:04:20.290100
.Models.MUs.product1:1011,2020-01-01 02:50:38.375400,2020-01-01 02:55:56.794900,0 days 00:05:18.419500
.Models.MUs.product1:1012,2020-01-01 02:50:42.762900,2020-01-01 02:55:20.761800,0 days 00:04:37.998900
.Models.MUs.product1:1013,2020-01-01 02:50:45.297400,2020-01-01 02:53:37.942700,0 days 00:02:52.645300
.Models.MUs.product1:1014,2020-01-01 02:50:46.361600,2020-01-01 02:55:22.457800,0 days 00:04:36.096200
.Models.MUs.product1:1015,2020-01-01 02:50:47.564400,2020-01-01 02:55:16.794900,0 days 00:04:29.230500
.Models.MUs.product1:1016,2020-01-01 02:51:36.762900,2020-01-01 02:54:55.032800,0 days 00:03:18.269900
.Models.MUs.product1:1017,2020-01-01 02:51:40.377600,2020-01-01 02:56:37.457800,0 days 00:04:57.080200
.Models.MUs.product1:1018,2020-01-01 02:52:13.175000,2020-01-01 02:56:49.981900,0 days 00:04:36.806900
.Models.MUs.product1:1019,2020-01-01 02:52:20.044300,2020-01-01 02:55:18.242400,0 days 00:02:58.198100
.Models.MUs.product1:1020,2020-01-01 02:52:23.083900,2020-01-01 02:55:32.563500,0 days 00:03:09.479600
.Models.MUs.product1:1021,2020-01-01 02:52:30.853600,2020-01-01 02:56:53.936300,0 days 00:04:23.082700
.Models.MUs.product1:1022,2020-01-01 02:52:42.041700,2020-01-01 02:56:37.457800,0 days 00:03:55.416100
.Models.MUs.product1:1023,2020-01-01 02:52:52.099300,2020-01-01 02:55:51.439500,0 days 00:02:59.340200
