activity,next_activity,frequency
finishedProcessingRegion2,productCallsForTransportRegion3,7502
productCallsForTransportRegion3,assignedToVehicleRegion3,7502
assignedToVehicleRegion3,pickedUpRegion3,7501
droppedOffRegion2,startProcessingRegion2,7500
pickedUpRegion1,droppedOffRegion2,7499
pickedUpRegion3,droppedOffRegion3,7498
arrivalAtSource,productCallsForTransportRegion1,7497
assignedToVehicleRegion1,pickedUpRegion1,7497
productCallsForTransportRegion1,assignedToVehicleRegion1,7497
startProcessingRegion2,finishedProcessingRegion2,7455
